"","X.1","X.2","X.3","X.4","X.5","Treatment","y1","y0","Xi.1","Xi.0"
"1",0.788553587161005,0.359856299590319,0.496342812431976,0.656321370741352,0.994997620582581,0,0.735994549608669,0.581600454031081,0,0
"2",0.233576691942289,0.297277902951464,0.452960623893887,0.573007923085243,0.335508602671325,1,0.485102822649324,0.713550946251223,1,0
"3",0.526241886429489,0.143200882012025,0.204763993388042,0.942967294715345,0.331177507527173,1,0.543084996508535,0.756442799827232,1,0
"4",0.415781173855066,0.4237269628793,0.113132351543754,0.371519199106842,0.500144857680425,0,0.496107522522166,0.68905507190684,1,0
"5",0.437627555802464,0.268636086955667,0.788150418549776,0.695236050756648,0.0317946046125144,0,0.331662712366642,0.550565276014354,1,0
"6",0.574392822338268,0.00771985459141433,0.842561171390116,0.423543579876423,0.0471115703694522,0,0.366869187893416,0.587035277426103,1,0
"7",0.657845115754753,0.325565930223092,0.457198059884831,0.845317255938426,0.918536165729165,1,0.439535205865648,0.349142202265614,1,0
"8",0.852233939105645,0.46537223784253,0.593939861282706,0.840805739630014,0.442907289601862,0,0.423830233767679,0.239647437686081,0,0
"9",0.749225666280836,0.56305848644115,0.438115328550339,0.788393883500248,0.369100621202961,1,0.588767411359295,0.36798113091654,0,0
"10",0.228768185013905,0.484057673253119,0.545373231638223,0.943784319562837,0.227250656113029,1,0.574844548975592,0.789162497605279,1,0
"11",0.798471267102286,0.520171009236947,0.365683870855719,0.912536467891186,0.706638575531542,1,0.459894684831581,0.24674381549414,0,0
"12",0.345426965272054,0.578919979045168,0.769881522282958,0.796314481645823,0.672647989355028,0,0.370267836532477,0.535743548889852,1,0
"13",0.0858115416485816,0.46932112169452,0.723200837848708,0.158948110649362,0.640919789904729,0,0.610659357138965,0.784929641618194,1,0
"14",0.380114654544741,0.526418471010402,0.540613546036184,0.492825257591903,0.809771161293611,0,0.598256223878011,0.769393762714179,0,0
"15",0.990161288529634,0.634232196491212,0.660251699620858,0.207487577805296,0.296871290775016,1,0.478292508166884,0.322787330572141,1,0
"16",0.973084814846516,0.961868628626689,0.0829480751417577,0.665478449314833,0.535132087534294,1,0.813728973764279,0.58500433764007,0,0
"17",0.0630656385328621,0.200378858949989,0.049037043005228,0.53735678922385,0.485017388826236,0,0.51011720188149,0.735054417503212,0,0
"18",0.789477589773014,0.698881930671632,0.449528465280309,0.466522567672655,0.384759766282514,1,0.714307607166235,0.486174188895577,1,0
